03.01.01 | rebt2002_block_07 | Documentación, proyecto y clasificación | Documentación técnica de la instalación
03.01.02 | rebt2002_block_07 | Documentación, proyecto y clasificación | Correspondencia con la instalación real
03.01.03 | rebt2002_block_07 | Documentación, proyecto y clasificación | Clasificación como alumbrado exterior
03.01.04 | rebt2002_block_07 | Cuadros de mando, protección y control | Ubicación y accesibilidad del cuadro
03.01.05 | rebt2002_block_07 | Cuadros de mando, protección y control | Envolvente del cuadro
03.01.06 | rebt2002_block_07 | Cuadros de mando, protección y control | Protecciones generales y por circuitos
03.01.07 | rebt2002_block_07 | Cuadros de mando, protección y control | Control, maniobra y encendido
03.01.08 | rebt2002_block_07 | Líneas y canalizaciones de alimentación | Canalizaciones subterráneas
03.01.09 | rebt2002_block_07 | Líneas y canalizaciones de alimentación | Sección mínima de conductores
03.01.10 | rebt2002_block_07 | Líneas y canalizaciones de alimentación | Canalizaciones aéreas o sobre fachada
03.01.11 | rebt2002_block_07 | Líneas y canalizaciones de alimentación | Identificación de conductores
03.01.12 | rebt2002_block_07 | Líneas y canalizaciones de alimentación | Estado general de líneas
03.01.13 | rebt2002_block_07 | Soportes, columnas y baculos | Estado mecánico de soportes
03.01.14 | rebt2002_block_07 | Soportes, columnas y baculos | Puerta de registro del soporte
03.01.15 | rebt2002_block_07 | Soportes, columnas y baculos | Conexiones internas del soporte
03.01.16 | rebt2002_block_07 | Soportes, columnas y baculos | Protección individual del punto de luz
03.01.17 | rebt2002_block_07 | Soportes, columnas y baculos | Puesta a tierra de soportes metálicos
03.01.18 | rebt2002_block_07 | Luminarias y proyectores | Estado de luminarias
03.01.19 | rebt2002_block_07 | Luminarias y proyectores | Grado IP/IK de luminarias
03.01.20 | rebt2002_block_07 | Luminarias y proyectores | Luminarias suspendidas
03.01.21 | rebt2002_block_07 | Luminarias y proyectores | Proyectores exteriores
03.01.22 | rebt2002_block_07 | Puesta a tierra y tensión de contacto | Red de tierra común
03.01.23 | rebt2002_block_07 | Puesta a tierra y tensión de contacto | Electrodos de tierra
03.01.24 | rebt2002_block_07 | Puesta a tierra y tensión de contacto | Continuidad de tierra
03.01.25 | rebt2002_block_07 | Puesta a tierra y tensión de contacto | Tensión de contacto máxima
03.01.26 | rebt2002_block_07 | Puesta a tierra y tensión de contacto | Cálculo RA x IDn
05.01.01 | rebt2002_block_06 | 1. Documentación | Documento de clasificación de zonas
05.01.02 | rebt2002_block_06 | 1. Documentación | Coherencia de la clasificación de zonas
05.01.03 | rebt2002_block_06 | 2. Equipos y material ATEX | Categoría del material según zona
05.01.04 | rebt2002_block_06 | 2. Equipos y material ATEX | Entradas de cables selladas
05.01.05 | rebt2002_block_06 | 3. Canalizaciones, sellados y seguridad global | Sellado entre zonas distintas
05.01.06 | rebt2002_block_06 | 3. Canalizaciones, sellados y seguridad global | Canalizaciones y cables adecuados
05.01.07 | rebt2002_block_06 | 2. Equipos y material ATEX | Modo de protección y marcado reglamentario
05.01.08 | rebt2002_block_06 | 3. Canalizaciones, sellados y seguridad global | Protección física de cables
05.01.09 | rebt2002_block_06 | 3. Canalizaciones, sellados y seguridad global | Validación global del cumplimiento ATEX
00.01.01 | rebt2002_block_00 | Documentación general | Proyecto técnico o memoria técnica
00.01.02 | rebt2002_block_00 | Documentación general | Certificado de instalación eléctrica / boletín
00.01.03 | rebt2002_block_00 | Documentación general | Esquema unifilar actualizado
00.01.04 | rebt2002_block_00 | Documentación general | Notificación / registro administrativo
00.01.05 | rebt2002_block_00 | Documentación general | Factura eléctrica / CUPS
00.01.06 | rebt2002_block_00 | Documentación general | Contrato de mantenimiento
00.01.07 | rebt2002_block_00 | Documentación general | Inspección OCA anterior
00.01.08 | rebt2002_block_00 | Documentación general | Fecha de última inspección y vencimiento
00.01.09 | rebt2002_block_00 | Documentación general | Manuales o fichas técnicas de equipos
00.01.10 | rebt2002_block_00 | Documentación específica | Certificados de equipos especiales
00.01.11 | rebt2002_block_00 | Documentación específica | Justificación de clasificación de zonas ATEX
00.01.12 | rebt2002_block_00 | Documentación específica | Justificación de ventilación / desclasificación
00.01.13 | rebt2002_block_00 | Documentación específica | Justificación de suministro complementario
00.01.14 | rebt2002_block_00 | Documentación específica | Documentación de alumbrado de emergencia
00.01.15 | rebt2002_block_00 | Documentación específica | Documentación fotovoltaica
00.01.16 | rebt2002_block_00 | Documentación específica | Documentación IRVE
00.01.17 | rebt2002_block_00 | Documentación general | Planos de planta / ubicación
00.01.18 | rebt2002_block_00 | Validación documental | Correspondencia documentación-instalación real
00.01.19 | rebt2002_block_00 | Validación documental | Fotografías o evidencias documentales
00.01.20 | rebt2002_block_00 | Validación documental | Validación global documental
01.01.01 | rebt2002_block_01 | Caja General de Protección | Estado exterior y acceso a la CGP / CGPM
01.01.02 | rebt2002_block_01 | Caja General de Protección | Tapa, envolvente e interior de la CGP
01.01.03 | rebt2002_block_01 | Caja General de Protección | Altura de instalación de la CGP / CGPM
01.01.04 | rebt2002_block_01 | Caja General de Protección | Distancia a otras canalizaciones
01.01.05 | rebt2002_block_01 | Caja General de Protección | Características de la CGP / CGPM
01.01.06 | rebt2002_block_01 | Línea General de Alimentación | Tipo de canalización de la LGA
01.01.07 | rebt2002_block_01 | Línea General de Alimentación | Trazado por zonas comunes y dimensiones
01.01.08 | rebt2002_block_01 | Línea General de Alimentación | Conducto vertical resistente al fuego
01.01.09 | rebt2002_block_01 | Línea General de Alimentación | Registros de la LGA
01.01.10 | rebt2002_block_01 | Línea General de Alimentación | Sección mínima de conductores LGA
01.01.11 | rebt2002_block_01 | Línea General de Alimentación | Cables de seguridad en LGA
01.01.12 | rebt2002_block_01 | Línea General de Alimentación | Identificación de conductores
01.01.13 | rebt2002_block_01 | Línea General de Alimentación | Caída de tensión de la LGA
01.01.14 | rebt2002_block_01 | Línea General de Alimentación | Estado general de la LGA
01.01.15 | rebt2002_block_01 | Derivación Individual | Independencia de la derivación individual
01.01.16 | rebt2002_block_01 | Derivación Individual | Diámetro mínimo de tubo de DI
01.01.17 | rebt2002_block_01 | Derivación Individual | Trazado de la DI
01.01.18 | rebt2002_block_01 | Derivación Individual | Conductores de la DI
01.01.19 | rebt2002_block_01 | Derivación Individual | Hilo de mando para cambio de tarifa
01.01.20 | rebt2002_block_01 | Derivación Individual | Identificación de conductores de DI
01.01.21 | rebt2002_block_01 | Derivación Individual | Sección mínima de la DI
01.01.22 | rebt2002_block_01 | Derivación Individual | Conductor de protección en DI
01.01.23 | rebt2002_block_01 | Derivación Individual | Caída de tensión máxima de DI
01.01.24 | rebt2002_block_01 | Derivación Individual | Canalización de DI en vertical
01.01.25 | rebt2002_block_01 | Derivación Individual | Estado general de DI
01.01.26 | rebt2002_block_01 | Derivación Individual | Correspondencia DI-contador-usuario
01.01.27 | rebt2002_block_01 | Centralización de contadores | Ubicación de la centralización
01.01.28 | rebt2002_block_01 | Centralización de contadores | Uso exclusivo del local de contadores
01.01.29 | rebt2002_block_01 | Centralización de contadores | Dimensiones del local de contadores
